HYD;PNQ;20161211104500;20161211120500
TOS;VDS;20160809102000;20160809112700
HAN;SGN;20170120150000;20170120171000
YOW;YTZ;20161109183000;20161109192900
ORY;GVA;20160523180000;20160523190500
ALG;DXB;20170120150500;20170121004500
HEL;PMI;20160416144500;20160416174500
DAR;MBI;20161025063000;20161025075500
BVA;KRK;20170203092000;20170203113000
GIG;POA;20170120090500;20170120110400
HEL;BUD;20170307093000;20170307105000
KUL;MYY;20161104162500;20161104184000
NQN;AEP;20161010212000;20161010225700
EZE;ASU;20160819081000;20160819090500
PMW;BSB;20161107040500;20161107062000
PVG;WEF;20170204133000;20170204145500
IST;BEG;20170518163000;20170518171000
MYY;SBW;20160513181500;20160513191000
TGG;SZB;20161031110500;20161031120500
MNL;LAO;20170624111500;20170624121500
LXA;CTU;20161121110000;20161122125000
KWE;KMG;20161118102500;20161118113000
GYE;BOG;20160401045400;20160401064400
MUC;LYS;20160406151000;20160406163000
FRA;DUB;20160315221500;20160404233000
BJX;MTY;20160321084500;20160321100000
VVI;TJA;20160323190000;20160323215500
TRD;BCN;20160416174500;20160416213000
TRF;BGO;20161227094500;20161227104000
VIX;GIG;20160629103000;20160629114000
BIQ;ORY;20161005110500;20161005122500
GRU;AEP;20161105091000;20161105100000
PVG;HKT;20161223201500;20161224005500
CAN;NAO;20160928174500;20160928200500
LKO;DEL;20161224092000;20161224103500
CJU;GMP;20161103134500;20161103145000
HAK;HGH;20160809194000;20160809221500
BJW;LBJ;20170108104500;20170108112500
EXT;GCI;20161024071000;20161024075000
SZX;DYG;20160617221000;20160617235500
AMD;BOM;20161104213000;20161104224500
MDE;BOG;20160704063000;20160704072700
HEL;BUD;20170307171000;20170307183000
BOG;UIB;20160828181600;20160828193600
MAD;BCN;20161126155000;20161126171000
DEL;MAA;20161111205500;20161111234500
LPB;CBB;20170226135500;20170226143000
DUS;FCO;20161230104500;20161230125500
PRG;OTP;20160701094500;20160701123500
GIG;BEL;20170216121000;20170216143500
CDG;MUC;20161107130500;20161107144000
BHO;BOM;20160920080000;20160920092500
BKK;DAC;20160928090500;20160928100000
PER;MEL;20161125234000;20161126061500
PEK;FUG;20161013181000;20161013201000
TFS;BRU;20160905104000;20160905163000
SJJ;SHJ;20160913224500;20160914061000
CKG;CGO;20160812142500;20160812161000
SCO;DME;20160603230000;20160603233000
CDG;MIR;20161013211500;20161013230000
KIX;CTS;20160525102500;20160525122000
HAS;JED;20161018222500;20161018235000
DUS;TXL;20170130124500;20170130135500
DUB;LHR;20161106173000;20161106185500
SVG;AAL;20160328172500;20160328183500
FRA;DUB;20160315105000;20160404151000
MEX;CUN;20160709072500;20160709094900
MNL;CEB;20160511183000;20160511194500
TZX;SAW;20160326163500;20160326182000
TPP;LIM;20160624144500;20160624160000
UIB;APO;20170518101500;20170518110500
BIQ;ORY;20161005163500;20161005175500
PTY;CUN;20170701095200;20170701123700
CGK;BDJ;20170121193000;20170121222000
WAW;RIX;20160810152000;20160810175000
MEL;DRW;20161126080500;20161126110500
MPL;CDG;20161217105000;20161217122000
PMI;FKB;20170601203500;20170601224000
MMX;BMA;20160928162000;20160928172500
FRA;LIN;20161002084500;20161002095500
NDG;DLC;20160730164000;20160730183500
NAS;LHR;20170110230500;20170111121000
NBO;ABJ;20160707073500;20160707104500
OSL;TXL;20161017095000;20161017112500
LHE;AUH;20160706193000;20160706220000
ZRH;MAD;20161105115000;20161105140500
DEL;IXL;20160731051500;20160731063000
CKG;CGO;20160812101000;20160812115500
RUH;DXB;20160802074000;20160802103500
KMG;CSX;20160831133000;20160831153000
CGR;MAO;20160319093700;20160319150000
DUS;DUB;20160513103000;20160513112000
SCO;TSE;20160513084500;20160513120000
YYZ;YQM;20160707120500;20160707150000
PEK;HRB;20160310072000;20160310092000
YLW;YVR;20160524070500;20160524080400
BES;CDG;20161104061500;20161104073500
TFN;SPC;20170116130000;20170116133000
TIF;AHB;20170104092000;20170104101500
MCT;DOH;20160805172500;20160805180500
CGK;SRG;20160513054000;20160513064500
NBO;DAR;20160815193500;20160815210000
NTL;BNE;20161115124000;20161115125500
VCP;PFB;20160517162500;20160517175500
GYN;BSB;20170208181300;20170208185500
LIM;TPP;20161004163000;20161004174500
BLR;MAA;20170127082000;20170127092000
AMS;BCN;20170408102000;20170408123500
CMN;CDG;20161024143500;20161024184000
YCU;URC;20170108112000;20170108152000
RGN;THL;20161008150000;20161008161000
VRN;OLB;20160807180500;20160807191500
HRE;JNB;20160910072000;20160910090500
VCE;DUS;20160914104500;20160914123500
BZE;CUK;20161031164000;20161031165000
CSX;CTU;20161127173000;20161127191500
CDG;BES;20160921163000;20160921174000
ETH;HFA;20161029170000;20161029181000
CDG;YUL;20160806130500;20160806142000
TFN;SPC;20170116200000;20170116203000
OSL;BGO;20160530220000;20160530225500
VCP;JTC;20160606083500;20160606094000
LHR;GLA;20160327115000;20160327131500
NQY;HHN;20160505113500;20160505142000
ORY;MRS;20160404180000;20160404191500
BOM;AMD;20160422091000;20160422102500
BTJ;CGK;20160505102500;20160505132000
BOM;GOI;20160329152000;20160329164000
CNF;GRU;20160521073500;20160521092000
AGP;MXP;20160517143500;20160517170500
ZRH;DUB;20161114210500;20161114222000
DEL;TRV;20160702205000;20160703000500
MEL;DPS;20161112100000;20161112131500
DUB;LTN;20170205160000;20170205171500
MED;JED;20161028213000;20161028223000
SOF;STN;20170305121000;20170305132500
UPG;SUB;20161122093500;20161122095500
MUC;TBS;20160520214500;20160521033000
BOM;BLR;20160516224500;20160517002000
PMI;FKB;20170602203500;20170602224000
LPB;CBB;20170806060500;20170806064000
CAN;LJG;20160913064000;20160913093000
DPS;JOG;20160720072000;20160720073000
CCU;DEL;20160724213000;20160724235000
PUY;LGW;20160519124500;20160519140000
SUB;CGK;20160521200000;20160521212500
NCE;ORY;20161220150000;20161220162500
BRU;FAO;20160904135000;20160904160500
AJF;CAI;20160515160000;20160515170000
BLR;DEL;20160509190000;20160509220000
CJU;KUV;20170214120000;20170214125000
BLR;DEL;20160509131500;20160509155000
DUB;AMS;20160806172000;20160806192000
MPL;CDG;20161217204000;20161217221000
PER;KUL;20160623065000;20160623123000
LCY;EDI;20160331161000;20160331173000
AKL;PVG;20160401220000;20160402053000
